SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Single Family Residential,2875 NE Hamblet St,Portland,OR,97212,1275000,4,3,Portland Northeast,2701,3920,2019,1,472,,Active,September-4-2021 11:00 AM,September-4-2021 01:00 PM,http://www.redfin.com/OR/Portland/2875-NE-Hamblet-St-97212/home/170024684,RMLS,21690092,N,Y,45.5506056,-122.6363293
MLS Listing,,Single Family Residential,5808 SW Sheridan Ct,Portland,OR,97221,699900,4,2,BRIDLEMILE/SOUTHWEST HILLS,1924,19602,1964,2,364,,Active,September-4-2021 11:00 AM,September-4-2021 01:00 PM,http://www.redfin.com/OR/Portland/5808-SW-Sheridan-Ct-97221/home/26645244,RMLS,21629100,N,Y,45.5042978,-122.7368805
MLS Listing,,Multi-Family (2-4 Unit),11897 SE Pine St,Portland,OR,97216,449900,3,3,Portland Southeast,,,2005,2,,,Active,,,http://www.redfin.com/OR/Portland/11897-SE-Pine-St-97216/unit-WI/home/26582556,RMLS,21330955,N,Y,45.520713,-122.54063
MLS Listing,,Townhouse,6813 NW 163rd Ave,Portland,OR,97229,535000,4,2.5,Arbor Lakes,1922,2613,2014,2,278,212,Active,September-5-2021 10:00 AM,September-5-2021 12:00 PM,http://www.redfin.com/OR/Portland/6813-NW-163rd-Ave-97229/home/54836141,RMLS,21056418,N,Y,45.5686886,-122.8455172
MLS Listing,,Single Family Residential,11124 SW 64th Ave,Portland,OR,97219,515000,3,2.5,"Portland West, Raleigh Hills",1364,5227,1987,3,378,,Active,September-4-2021 11:00 AM,September-4-2021 01:00 PM,http://www.redfin.com/OR/Portland/11124-SW-64th-Ave-97219/home/25795398,RMLS,21401557,N,Y,45.4446681,-122.7423393
MLS Listing,,Condo/Co-op,1420 NW Lovejoy St #620,Portland,OR,97209,570000,2,2,Pearl District,1267,,1910,3,450,675,Active,September-5-2021 01:00 PM,September-5-2021 03:00 PM,http://www.redfin.com/OR/Portland/1420-NW-Lovejoy-St-97209/unit-620/home/26629029,RMLS,21571472,N,Y,45.5299226,-122.6860554
MLS Listing,,Single Family Residential,4220 SE Yamhill St,Portland,OR,97215,499000,2,1,SUNNYSIDE / BELMONT,1872,,1890,8,267,,Active,,,http://www.redfin.com/OR/Portland/4220-SE-Yamhill-St-97215/home/25742473,RMLS,21435545,N,Y,45.5156676,-122.6188741
MLS Listing,,Single Family Residential,8865 SE Bristol Park Dr,Happy Valley,OR,97086,725000,4,3,"Milwaukie, Gladstone, Happy Valley, Clckmas, Dmscus, Estacada",2548,5227,1998,8,285,31,Active,,,http://www.redfin.com/OR/Happy-Valley/8865-SE-Bristol-Park-Dr-97086/home/26038133,RMLS,21172927,N,Y,45.4581882,-122.5591897
MLS Listing,,Condo/Co-op,1125 NW 9th Ave #419,Portland,OR,97209,380000,1,1,PEARL DISTRICT / LEXIS,757,,2004,8,502,385,Active,,,http://www.redfin.com/OR/Portland/1125-NW-9th-Ave-97209/unit-419/home/25756249,RMLS,21206072,N,Y,45.5312084,-122.6806888
MLS Listing,,Single Family Residential,7855 N Wabash Ave,Portland,OR,97217,510000,2,1.5,Portland North,1940,3484,1927,8,263,,Active,,,http://www.redfin.com/OR/Portland/7855-N-Wabash-Ave-97217/home/26369196,RMLS,21673824,N,Y,45.5804709,-122.702946
MLS Listing,,Single Family Residential,7406 N Newell Ave,Portland,OR,97203,530000,3,2,UNIVERSITY PARK,1928,2613,1909,9,275,,Active,,,http://www.redfin.com/OR/Portland/7406-N-Newell-Ave-97203/home/26524569,RMLS,21672574,N,Y,45.5844563,-122.7337336
MLS Listing,,Single Family Residential,17920 SE Pine St,Portland,OR,97233,339900,2,1,Gresham,720,7840,1948,9,472,,Active,,,http://www.redfin.com/OR/Portland/17920-SE-Pine-St-97233/home/25742182,RMLS,21697815,N,Y,45.5202906,-122.4786052
MLS Listing,,Single Family Residential,8424 NE Humboldt St,Portland,OR,97220,359900,2,1,Portland Northeast,848,6098,1948,9,424,,Active,,,http://www.redfin.com/OR/Portland/8424-NE-Humboldt-St-97220/home/26504877,RMLS,21633524,N,Y,45.558434,-122.5759994
MLS Listing,,Single Family Residential,3730 SE 51st Ave,Portland,OR,97206,599000,3,2,Portland Southeast,2189,4791,1924,9,274,,Active,,,http://www.redfin.com/OR/Portland/3730-SE-51st-Ave-97206/home/25863710,RMLS,21386807,N,Y,45.4956214,-122.6101948
MLS Listing,,Single Family Residential,489 NW Skyline Blvd,Portland,OR,97229,798000,5,3,"Portland West, Raleigh Hills",3080,37897,1953,15,259,,Active,,,http://www.redfin.com/OR/Portland/489-NW-Skyline-Blvd-97229/home/26432122,RMLS,21158086,N,Y,45.5252538,-122.7560987
MLS Listing,,Single Family Residential,16212 SW Oneill Ct,Portland,OR,97223,799900,6,3.5,"Beaverton, Aloha",3525,13068,1996,16,227,,Active,,,http://www.redfin.com/OR/Portland/16212-SW-Oneill-Ct-97223/home/26685886,RMLS,21011086,N,Y,45.4261551,-122.8435976
MLS Listing,,Condo/Co-op,35 NE Tillamook St Unit A,Portland,OR,97212,425000,3,3,ELIOT,1625,,1997,16,262,225,Active,,,http://www.redfin.com/OR/Portland/35-NE-Tillamook-St-97212/unit-A/home/25803855,RMLS,21180677,N,Y,45.538251,-122.6658011
MLS Listing,,Single Family Residential,3435 NW 115th Ave,Portland,OR,97229,819000,4,2.5,NW Washington Co or Sauvie Island,3067,8276,2000,16,267,,Active,,,http://www.redfin.com/OR/Portland/3435-NW-115th-Ave-97229/home/26694860,RMLS,21246115,N,Y,45.5445966,-122.7960835
MLS Listing,,Condo/Co-op,44 Eagle Crest Dr #9,Lake Oswego,OR,97035,255000,2,1,Mt. Park,908,,1979,16,281,418,Active,,,http://www.redfin.com/OR/Lake-Oswego/44-Eagle-Crest-Dr-97035/unit-9/home/25855902,RMLS,21607754,N,Y,45.4354183,-122.707944
MLS Listing,,Single Family Residential,3826 SE Liebe St,Portland,OR,97202,599999,4,3,Portland Southeast,2232,4791,1912,16,269,,Active,,,http://www.redfin.com/OR/Portland/3826-SE-Liebe-St-97202/home/25817515,RMLS,21420813,N,Y,45.4872864,-122.6230308
MLS Listing,,Condo/Co-op,1500 SW Park Ave #221,Portland,OR,97201,349900,2,2,"Portland West, Raleigh Hills",879,,1988,21,398,522,Active,,,http://www.redfin.com/OR/Portland/1500-SW-Park-Ave-97201/unit-221/home/26443721,RMLS,21333433,N,Y,45.5137611,-122.682966
MLS Listing,,Condo/Co-op,1535 SW Clay St #218,Portland,OR,97201,353000,2,2,"Portland West, Raleigh Hills",779,,1982,22,453,324,Active,September-4-2021 01:00 PM,September-4-2021 03:00 PM,http://www.redfin.com/OR/Portland/1535-SW-Clay-St-97201/unit-218/home/26607596,RMLS,21281932,N,Y,45.5165416,-122.6903036
MLS Listing,,Single Family Residential,2732 SE 168th Ave,Portland,OR,97236,399000,3,2,Portland Southeast,1472,6098,1960,23,271,,Active,,,http://www.redfin.com/OR/Portland/2732-SE-168th-Ave-97236/home/26671811,RMLS,21464132,N,Y,45.5024997,-122.4893473
MLS Listing,,Townhouse,5954 NE Hoyt St,Portland,OR,97213,435000,3,2,NORTH TABOR,1233,,2001,23,353,250,Active,,,http://www.redfin.com/OR/Portland/5954-NE-Hoyt-St-97213/home/25810112,RMLS,21145380,N,Y,45.5268797,-122.6024421
MLS Listing,,Single Family Residential,8641 NE Pacific St,Portland,OR,97220,500000,4,2,Portland Northeast,2005,5227,1948,30,249,,Active,,,http://www.redfin.com/OR/Portland/8641-NE-Pacific-St-97220/home/26322733,RMLS,21196369,N,Y,45.5296893,-122.5737573
MLS Listing,,Single Family Residential,7912 SE Henderson St,Portland,OR,97206,449000,3,1.5,Portland Southeast,1584,9583,1941,30,283,,Active,,,http://www.redfin.com/OR/Portland/7912-SE-Henderson-St-97206/home/26427737,RMLS,21015821,N,Y,45.4698568,-122.582052
MLS Listing,,Condo/Co-op,1926 W Burnside St #202,Portland,OR,97209,544000,3,2,"Portland West, Raleigh Hills",1404,,2006,31,387,701,Active,,,http://www.redfin.com/OR/Portland/1926-W-Burnside-St-97209/unit-202/home/26449155,RMLS,21677053,N,Y,45.5225398,-122.6905683
MLS Listing,,Townhouse,96 NW Maywood Dr,Portland,OR,97210,675000,2,2.5,KINGS HEIGHTS,1612,6098,1996,37,419,,Active,,,http://www.redfin.com/OR/Portland/96-NW-Maywood-Dr-97210/home/26330069,RMLS,21255947,N,Y,45.5244137,-122.7050954
MLS Listing,,Single Family Residential,1317 N Rosa Parks Way,Portland,OR,97217,549900,3,1,ARBOR LODGE,2757,4791,1935,37,199,,Active,,,http://www.redfin.com/OR/Portland/1317-N-Rosa-Parks-Way-97217/home/26517164,RMLS,21525986,N,Y,45.5701272,-122.6802883
MLS Listing,,Single Family Residential,2726 SE 111th Ave,Portland,OR,97266,389000,3,1,Portland Southeast,1333,6534,1949,37,292,,Active,,,http://www.redfin.com/OR/Portland/2726-SE-111th-Ave-97266/home/26588116,RMLS,21294517,N,Y,45.5020855,-122.5489704
MLS Listing,,Single Family Residential,17010 NW Sheltered Nook Rd,Portland,OR,97231,2490000,6,5.5,NW Washington Co or Sauvie Island,7719,1718877,1993,38,323,,Active,,,http://www.redfin.com/OR/Portland/17010-NW-Sheltered-Nook-Rd-97231/home/45401353,RMLS,21332918,N,Y,45.648291,-122.86085
MLS Listing,,Single Family Residential,3753 N Overlook Blvd,Portland,OR,97227,795000,5,2,Portland North,3925,3920,1910,39,203,,Active,,,http://www.redfin.com/OR/Portland/3753-N-Overlook-Blvd-97227/home/26322638,RMLS,21019280,N,Y,45.5496212,-122.6842904
MLS Listing,,Single Family Residential,3933 SE Tibbetts St,Portland,OR,97202,525000,3,1,RICHMOND,2684,6098,1911,44,196,,Active,,,http://www.redfin.com/OR/Portland/3933-SE-Tibbetts-St-97202/home/26403822,RMLS,21239120,N,Y,45.5007114,-122.6218792
MLS Listing,,Condo/Co-op,408 NW 12th Ave #212,Portland,OR,97209,429000,1,1,MCKENZIE LOFTS CONDO,835,,1998,50,514,,Active,,,http://www.redfin.com/OR/Portland/408-NW-12th-Ave-97209/unit-212/home/26589741,RMLS,21340158,N,Y,45.5261237,-122.6830342
MLS Listing,,Single Family Residential,11907 SE Liebe St,Portland,OR,97266,389900,3,1.5,Portland Southeast,1192,7405,1957,58,327,,Active,,,http://www.redfin.com/OR/Portland/11907-SE-Liebe-St-97266/home/26672180,RMLS,21044982,N,Y,45.4869718,-122.540778
MLS Listing,,Condo/Co-op,533 NE Holladay St #306,Portland,OR,97232,269000,1,1,Portland Northeast,617,,2001,176,436,340,Active,,,http://www.redfin.com/OR/Portland/533-NE-Holladay-St-97232/unit-306/home/25834721,RMLS,21151875,N,Y,45.5301826,-122.6600829
MLS Listing,,Condo/Co-op,327 NW Park Ave Unit 4A,Portland,OR,97209,315000,1,1,"Portland West, Raleigh Hills",926,,2001,304,340,585,Active,,,http://www.redfin.com/OR/Portland/327-NW-Park-Ave-97209/unit-4A/home/26531922,RMLS,20676843,N,Y,45.5255595,-122.6794236
PAST SALE,July-11-2019,Single Family Residential,2915 NE Fremont Dr,Portland,OR,97220,455000,3,2,ROCKY BUTTE,1547,10018,1950,786,294,,Sold,,,http://www.redfin.com/OR/Portland/2915-NE-Fremont-Dr-97220/home/25832121,RMLS,19013936,N,Y,45.5437263,-122.5732837
PAST SALE,May-21-2020,Single Family Residential,802 SW Terwilliger Pl,Portland,OR,97239,575000,3,2,HILLSDALE/BURLINGAME,2199,6969,1991,471,261,,Sold,,,http://www.redfin.com/OR/Portland/802-SW-Terwilliger-Pl-97239/home/26508342,RMLS,20023150,N,Y,45.4788242,-122.6863498
PAST SALE,January-15-2021,Single Family Residential,8114 SE 51st Ave,Portland,OR,97206,405000,2,1,Errol Heights,1244,6534,1945,232,326,,Sold,,,http://www.redfin.com/OR/Portland/8114-SE-51st-Ave-97206/home/26609342,RMLS,20520257,N,Y,45.4647313,-122.6107906
PAST SALE,June-19-2019,Single Family Residential,11724 NE Fremont St,Portland,OR,97220,391500,5,2,"PARKROSE, Ellery Heights",2414,12196,1961,808,162,,Sold,,,http://www.redfin.com/OR/Portland/11724-NE-Fremont-St-97220/home/25800009,RMLS,19586010,N,Y,45.5478084,-122.541959
PAST SALE,May-12-2021,Single Family Residential,5224 NE Mallory Ave,Portland,OR,97211,930000,4,3.5,Portland Northeast,3177,5227,2006,115,293,,Sold,,,http://www.redfin.com/OR/Portland/5224-NE-Mallory-Ave-97211/home/26589144,RMLS,21072937,N,Y,45.5609245,-122.6634416
PAST SALE,April-22-2021,Single Family Residential,815 SW Taylors Ferry Rd,Portland,OR,97219,470000,2,1,"Portland West, Raleigh Hills",1051,6098,1921,135,447,,Sold,,,http://www.redfin.com/OR/Portland/815-SW-Taylors-Ferry-Rd-97219/home/26542025,RMLS,21556185,N,Y,45.4630681,-122.6869601
PAST SALE,April-5-2019,Single Family Residential,18846 NE Couch Ln,Portland,OR,97230,275000,3,1,ROCKWOOD,1098,7405,1963,883,250,,Sold,,,http://www.redfin.com/OR/Portland/18846-NE-Couch-Ln-97230/home/26611754,RMLS,19404299,N,Y,45.522213,-122.4693063
PAST SALE,May-22-2020,Single Family Residential,3141 SE 90th Pl,Portland,OR,97266,370000,2,2,Portland Southeast,2316,5662,1926,470,160,,Sold,,,http://www.redfin.com/OR/Portland/3141-SE-90th-Pl-97266/home/25776142,RMLS,20390525,N,Y,45.4993002,-122.570611
PAST SALE,March-5-2021,Single Family Residential,3404 SE 51st Ave,Portland,OR,97206,625000,5,2,Portland Southeast,3387,4791,1908,183,185,,Sold,,,http://www.redfin.com/OR/Portland/3404-SE-51st-Ave-97206/home/25812367,RMLS,20354328,N,Y,45.4982341,-122.6098567
PAST SALE,January-25-2021,Single Family Residential,10324 SW 59th Pl,Portland,OR,97219,575000,3,2.5,"Portland West, Raleigh Hills",2530,7405,1985,222,227,,Sold,,,http://www.redfin.com/OR/Portland/10324-SW-59th-Pl-97219/home/25849383,RMLS,20453781,N,Y,45.4510071,-122.7373054
PAST SALE,June-30-2021,Condo/Co-op,2588 SE Martha Ct,Oak Grove,OR,97222,415000,3,2.5,Martha's Green,1556,,2011,66,267,92,Sold,,,http://www.redfin.com/OR/Oak-Grove/2588-SE-Martha-Ct-97222/home/39967888,RMLS,21533323,N,Y,45.4236785,-122.6365769
PAST SALE,June-16-2017,Single Family Residential,8854 SE 16th Ave,Portland,OR,97202,749900,4,3.5,Sellwood,2749,2613,2015,1541,273,,Sold,,,http://www.redfin.com/OR/Portland/8854-SE-16th-Ave-97202/home/59348580,RMLS,17652755,N,Y,45.458676,-122.64868
PAST SALE,August-31-2020,Single Family Residential,4127 NE 131st Pl,Portland,OR,97230,490000,3,2.5,ARGAY,2587,7405,1969,369,189,,Sold,,,http://www.redfin.com/OR/Portland/4127-NE-131st-Pl-97230/home/26417431,RMLS,20219765,N,Y,45.5529771,-122.5292298
PAST SALE,May-19-2021,Single Family Residential,8241 SW Terwilliger Blvd,Portland,OR,97219,549000,3,3,SOUTH BURLINGAME,2510,4791,1942,108,219,,Sold,,,http://www.redfin.com/OR/Portland/8241-SW-Terwilliger-Blvd-97219/home/26424948,RMLS,21347768,N,Y,45.4649053,-122.6837919
PAST SALE,July-14-2021,Single Family Residential,433 SE 30th Ave,Portland,OR,97214,645000,4,2.5,Portland Southeast,2217,2178,2014,52,291,,Sold,,,http://www.redfin.com/OR/Portland/433-SE-30th-Ave-97214/home/52927292,RMLS,21300081,N,Y,45.5194705,-122.6351344
PAST SALE,November-21-2016,Single Family Residential,5400 SE 89th Ave,Portland,OR,97266,420000,4,3,LENTS PARK,2556,,1910,1748,164,,Sold,,,http://www.redfin.com/OR/Portland/5400-SE-89th-Ave-97266/home/26590693,RMLS,16563304,N,Y,45.4835554,-122.5706361
PAST SALE,February-12-2021,Single Family Residential,845 NE Church St,Portland,OR,97211,460000,2,2,Portland Northeast,2300,4791,1907,204,200,,Sold,,,http://www.redfin.com/OR/Portland/845-NE-Church-St-97211/unit-A/home/26298838,RMLS,20509094,N,Y,45.5635827,-122.6565578
PAST SALE,July-24-2020,Single Family Residential,8719 N Portsmouth Ave,Portland,OR,97203,410000,3,1.5,Portland North,1288,6534,2000,407,318,,Sold,,,http://www.redfin.com/OR/Portland/8719-N-Portsmouth-Ave-97203/home/26523430,RMLS,20626301,N,Y,45.5861458,-122.7216827
PAST SALE,July-30-2020,Single Family Residential,15995 SW Roshak Rd,Tigard,OR,97224,517500,6,3,"Tigard, Tualatin, Sherwood, Wilsonville",3300,20908,1980,401,157,,Sold,,,http://www.redfin.com/OR/Tigard/15995-SW-Roshak-Rd-97224/home/25815528,RMLS,20396752,N,Y,45.4191605,-122.8410982
PAST SALE,July-27-2020,Single Family Residential,12872 SW Buckfield Ln,King City,OR,97224,547000,4,3,CASTLE OAKS,2636,3920,2017,404,208,,Sold,,,http://www.redfin.com/OR/King-City/12872-SW-Buckfield-Ln-97224/home/112840012,RMLS,20020737,N,Y,45.399938,-122.8095199
PAST SALE,June-25-2021,Single Family Residential,7919 SE Clackamas Rd,Milwaukie,OR,97267,449900,3,2,"Milwaukie, Gladstone, Happy Valley, Clckmas, Dmscus, Estacada",1476,10890,1984,71,305,,Sold,,,http://www.redfin.com/OR/Milwaukie/7919-SE-Clackamas-Rd-97267/home/26005191,RMLS,21673352,N,Y,45.4112676,-122.5820606
PAST SALE,August-22-2019,Condo/Co-op,1420 NW Lovejoy St #713,Portland,OR,97209,1525000,3,2.5,"Portland West, Raleigh Hills",2867,,1910,744,532,1333,Sold,,,http://www.redfin.com/OR/Portland/1420-NW-Lovejoy-St-97209/unit-713/home/26441005,RMLS,19269154,N,Y,45.5299226,-122.6860554
PAST SALE,April-21-2021,Single Family Residential,5270 N Oberlin St,Portland,OR,97203,600000,3,2.5,UNIVERSITY PARK,2137,3484,2014,136,281,,Sold,,,http://www.redfin.com/OR/Portland/5270-N-Oberlin-St-97203/home/52927300,RMLS,21306917,N,Y,45.5805577,-122.7245967
PAST SALE,August-23-2019,Single Family Residential,8520 N Hamlin Ave,Portland,OR,97217,344000,2,1,PENINSULAR,1600,4791,1952,743,215,,Sold,,,http://www.redfin.com/OR/Portland/8520-N-Hamlin-Ave-97217/home/26588195,RMLS,19445752,N,Y,45.5849106,-122.7021625
PAST SALE,April-22-2019,Condo/Co-op,360 NW 116th Ave #105,Portland,OR,97229,379000,2,2.5,NW Washington Co or Sauvie Island,1300,,2010,866,292,291,Sold,,,http://www.redfin.com/OR/Portland/360-NW-116th-Ave-97229/unit-105/home/39585574,RMLS,19550213,N,Y,45.5223277,-122.7961128
PAST SALE,April-30-2021,Single Family Residential,14126 SE Salmon St,Portland,OR,97233,410000,4,2,Portland Southeast,2016,7405,1959,127,203,,Sold,,,http://www.redfin.com/OR/Portland/14126-SE-Salmon-St-97233/home/26420519,RMLS,21253511,N,Y,45.5144626,-122.5178807
PAST SALE,November-3-2017,Single Family Residential,1615 SE 46th Ave,Portland,OR,97215,440000,2,1,Portland Southeast,1596,1742,1913,1401,276,,Sold,,,http://www.redfin.com/OR/Portland/1615-SE-46th-Ave-97215/home/25849051,RMLS,17624485,N,Y,45.5109896,-122.6153295
PAST SALE,June-14-2018,Single Family Residential,16727 SE Powell View Ct,Portland,OR,97236,385000,3,2.5,Powell Butte,1706,6969,1995,1178,226,,Sold,,,http://www.redfin.com/OR/Portland/16727-SE-Powell-View-Ct-97236/home/26417384,RMLS,18510986,N,Y,45.4870744,-122.4910281
PAST SALE,October-21-2020,Single Family Residential,2525 NW Arnott Ln,Portland,OR,97229,629900,4,2.5,IRON RIDGE PARK,2324,4791,2011,318,271,30,Sold,,,http://www.redfin.com/OR/Portland/2525-NW-Arnott-Ln-97229/home/26651664,RMLS,20264930,N,Y,45.537885,-122.7953286
PAST SALE,February-5-2021,Single Family Residential,13131 NE Glisan St,Portland,OR,97230,399000,3,2,Portland Northeast,1244,9147,1955,211,321,,Sold,,,http://www.redfin.com/OR/Portland/13131-NE-Glisan-St-97230/home/25755819,RMLS,20446342,N,Y,45.5266925,-122.5276804
PAST SALE,December-8-2020,Single Family Residential,7629 S Hood Ave,Portland,OR,97219,784100,3,3,JOHNS LANDING & FULTON PARK,2456,5227,1990,270,319,,Sold,,,http://www.redfin.com/OR/Portland/7629-S-Hood-Ave-97219/home/25760392,RMLS,20048011,N,Y,45.4687321,-122.6746752
PAST SALE,August-7-2020,Single Family Residential,3155 NE 80th Ave,Portland,OR,97213,413500,2,1,Portland Northeast,1176,4791,1954,393,352,,Sold,,,http://www.redfin.com/OR/Portland/3155-NE-80th-Ave-97213/home/25768435,RMLS,20677019,N,Y,45.5453879,-122.5810743
PAST SALE,July-24-2018,Condo/Co-op,2245 SW Park Pl Unit 4C,Portland,OR,97205,365000,2,2,"Portland West, Raleigh Hills",1013,,1983,1138,360,597,Sold,,,http://www.redfin.com/OR/Portland/2245-SW-Park-Pl-97205/unit-4C/home/26322671,RMLS,18338089,N,Y,45.5214942,-122.6977975
PAST SALE,August-6-2021,Single Family Residential,9565 N Tioga Ave,Portland,OR,97203,350000,2,1,ST JOHNS,777,5662,1954,29,450,,Sold,,,http://www.redfin.com/OR/Portland/9565-N-Tioga-Ave-97203/home/26590894,RMLS,21627339,N,Y,45.5960835,-122.7408623
PAST SALE,March-20-2020,Townhouse,5002 SW Taylors Ferry Rd,Portland,OR,97219,475000,3,2.5,"Portland West, Raleigh Hills",1944,6969,2012,533,244,,Sold,,,http://www.redfin.com/OR/Portland/5002-SW-Taylors-Ferry-Rd-97219/home/40031849,RMLS,20517587,N,Y,45.4543206,-122.7283479
PAST SALE,March-31-2021,Townhouse,4063 N Commercial Ave,Portland,OR,97227,550000,3,2.5,Portland North,1627,2613,2005,157,338,,Sold,,,http://www.redfin.com/OR/Portland/4063-N-Commercial-Ave-97227/home/26448937,RMLS,21459339,N,Y,45.55300885,-122.6714078
PAST SALE,January-29-2021,Condo/Co-op,5250 S Landing Dr #103,Portland,OR,97239,390000,2,2,"Portland West, Raleigh Hills",1042,,1980,218,374,673,Sold,,,http://www.redfin.com/OR/Portland/5250-SW-Landing-Dr-97239/unit-103/home/101711578,RMLS,20183048,N,Y,45.4856106,-122.6736961
PAST SALE,April-10-2020,Single Family Residential,6125 SE Lambert St,Portland,OR,97206,367000,3,1,Portland Southeast,1032,4791,1967,512,356,,Sold,,,http://www.redfin.com/OR/Portland/6125-SE-Lambert-St-97206/home/26544649,RMLS,20660653,N,Y,45.4674298,-122.6003958
PAST SALE,February-17-2021,Townhouse,3620 NE Rodney Ave,Portland,OR,97212,1000000,4,3.5,BOISE,3033,2500,2015,199,330,,Sold,,,http://www.redfin.com/OR/Portland/3620-NE-Rodney-Ave-97212/home/69096580,RMLS,20617638,N,Y,45.5491461,-122.6643613
PAST SALE,June-10-2019,Townhouse,6410 N Atlantic Ave,Portland,OR,97217,475000,3,2.5,OVERLOOK / ARBOR LODGE,1272,2613,1996,817,373,,Sold,,,http://www.redfin.com/OR/Portland/6410-N-Atlantic-Ave-97217/home/26323503,RMLS,19009444,N,Y,45.569267,-122.696257
PAST SALE,December-6-2019,Condo/Co-op,2109 NW Irving St #208,Portland,OR,97210,142100,0,1,"Portland West, Raleigh Hills",399,,1910,638,356,318,Sold,,,http://www.redfin.com/OR/Portland/2109-NW-Irving-St-97210/unit-208/home/26621111,RMLS,19467977,N,Y,45.5277332,-122.6946565
PAST SALE,May-28-2021,Single Family Residential,1436 SE 53rd Ave,Portland,OR,97215,805000,5,3.5,Portland Southeast,3648,6098,1938,99,221,,Sold,,,http://www.redfin.com/OR/Portland/1436-SE-53rd-Ave-97215/home/26395721,RMLS,21354265,N,Y,45.5122138,-122.6081315
PAST SALE,February-26-2021,Single Family Residential,16215 SE Sterling Cir,Milwaukie,OR,97267,520000,3,2,"Milwaukie, Gladstone, Happy Valley, Clckmas, Dmscus, Estacada",1406,6098,1973,190,370,,Sold,,,http://www.redfin.com/OR/Milwaukie/16215-SE-Sterling-Cir-97267/home/26034664,RMLS,21529972,N,Y,45.4051956,-122.6338446
PAST SALE,November-30-2018,Single Family Residential,4817 SE Harrison St,Portland,OR,97215,566375,4,2,Portland Southeast,2255,3049,1913,1009,251,,Sold,,,http://www.redfin.com/OR/Portland/4817-SE-Harrison-St-97215/home/26327903,RMLS,18291239,N,Y,45.5089546,-122.6126718
PAST SALE,July-13-2020,Single Family Residential,5265 NE Cleveland Ave,Portland,OR,97211,850000,5,4,Portland North,3416,4791,1907,418,249,,Sold,,,http://www.redfin.com/OR/Portland/5265-NE-Cleveland-Ave-97211/home/26478757,RMLS,20269591,N,Y,45.5614641,-122.6661211
PAST SALE,February-17-2021,Single Family Residential,725 N Buffalo St,Portland,OR,97217,497000,3,2.5,Portland North,1599,2178,2010,199,311,,Sold,,,http://www.redfin.com/OR/Portland/725-N-Buffalo-St-97217/home/25735652,RMLS,20595120,N,Y,45.5752408,-122.6743495
PAST SALE,September-1-2020,Single Family Residential,4224 SE Ivon St,Portland,OR,97206,500000,3,1,Portland Southeast,1008,3920,1970,368,496,,Sold,,,http://www.redfin.com/OR/Portland/4224-SE-Ivon-St-97206/home/25857438,RMLS,20016781,N,Y,45.5038205,-122.6185472
PAST SALE,March-26-2019,Single Family Residential,4511 SE Naef Rd,Milwaukie,OR,97267,275000,2,1,OLD ORCHARD,810,6969,1946,893,340,,Sold,,,http://www.redfin.com/OR/Milwaukie/4511-SE-Naef-Rd-97267/home/25741735,RMLS,19097532,N,Y,45.4044058,-122.6167221
PAST SALE,June-17-2019,Single Family Residential,7300 SW Locust St,Portland,OR,97223,599900,4,2.5,"Portland West, Raleigh Hills",2560,6534,2015,810,234,,Sold,,,http://www.redfin.com/OR/Portland/7300-SW-Locust-St-97223/home/79233973,RMLS,19325611,N,Y,45.4464273,-122.7528272
PAST SALE,October-8-2019,Townhouse,853 SE 193rd Ave,Portland,OR,97233,243000,3,2.5,Portland Southeast,1224,1742,2000,697,199,,Sold,,,http://www.redfin.com/OR/Portland/853-SE-193rd-Ave-97233/home/26400243,RMLS,19536098,N,Y,45.5167428,-122.464687
PAST SALE,December-15-2020,Single Family Residential,2595 SW 87th Ave,Portland,OR,97225,575000,3,2,"Portland West, Raleigh Hills",1767,7840,1950,263,325,,Sold,,,http://www.redfin.com/OR/Portland/2595-SW-87th-Ave-97225/home/26713909,RMLS,20114227,N,Y,45.5011162,-122.7675443
PAST SALE,July-30-2020,Condo/Co-op,1009 NW Hoyt St #206,Portland,OR,97209,385000,1,1,PEARL DISTRICT,847,,1994,401,455,374,Sold,,,http://www.redfin.com/OR/Portland/1009-NW-Hoyt-St-97209/unit-206/home/26514659,RMLS,20036999,N,Y,45.5276782,-122.6814685
PAST SALE,July-31-2018,Condo/Co-op,5640 SW Riverside Ln #5,Portland,OR,97239,450000,3,2,"Portland West, Raleigh Hills",1542,,1981,1131,292,550,Sold,,,http://www.redfin.com/OR/Portland/5640-S-Riverside-Ln-97239/unit-5/home/26480916,RMLS,18644684,N,Y,45.4823479,-122.6734196
PAST SALE,April-3-2020,Single Family Residential,7906 N Wall Ave,Portland,OR,97203,288000,2,1,PORTSMOUTH,1466,4791,1925,519,196,,Sold,,,http://www.redfin.com/OR/Portland/7906-N-Wall-Ave-97203/home/26478929,RMLS,20659330,N,Y,45.5859632,-122.7282748
